"X","Y","Z"
-0.1461,-0.0911,-1.1349
-0.1501,-0.0921,-1.187
-0.1091,-0.1241,-1.176
-0.0871,-0.1581,-1.1499
-0.1121,-0.1972,-1.1439
-0.1461,-0.2112,-1.1209
-0.1341,-0.2602,-1.1179
-0.1251,-0.2652,-1.1489
-0.2372,-0.2462,-1.0018
-0.2262,-0.2372,-0.9818
-0.2112,-0.2062,-1.0228
-0.2202,-0.1912,-1.0158
-0.2452,-0.1731,-0.9588
-0.2452,-0.1591,-0.9388
-0.2262,-0.1511,-0.9638
-0.2382,-0.1251,-0.9778
-0.2622,-0.1011,-0.9107
-0.2602,-0.0761,-0.8817
-0.2122,-0.0711,-0.9268
-0.1711,-0.0781,-0.9478
-0.1691,-0.0791,-0.9087
-0.1831,-0.0681,-0.8737
-0.1741,-0.0681,-0.8837
-0.1571,-0.0661,-0.9268
-0.1711,-0.057,-0.9458
-0.2272,-0.028,-0.8957
-0.2172,-0.008,-0.9248
-0.1811,-0.002,-0.9217
-0.1781,-0.06,-0.8647
-0.2392,0.05,-0.9197
-0.2142,-0.038,-0.8937
-0.2642,0.055,-0.9318
-0.2832,0.0761,-0.8777
-0.2832,0.0761,-0.8777
-0.2542,0.0911,-0.9428
-0.1862,0.061,-0.9978
-0.1511,0.0641,-1.0348
-0.1391,0.0921,-1.0188
-0.1701,0.1361,-0.9668
-0.1701,0.1361,-0.9678
-0.1271,0.1371,-1.0088
-0.1041,0.1681,-0.9938
-0.1111,0.1912,-0.9758
-0.0921,0.1561,-0.9958
-0.055,0.1401,-0.9978
-0.055,0.1401,-0.9978
-0.055,0.1531,-0.9738
-0.022,0.0831,-0.9728
-0.0711,0.1561,-0.9648
-0.035,0.1441,-0.8827
-0.046,0.2432,-0.9468
-0.009,0.2672,-0.9408
0.016,0.3062,-0.9768
0.057,0.3012,-1.0388
0.0651,0.3223,-1.0929
0.06,0.3423,-1.0929
0.0751,0.3343,-1.0939
0.1021,0.3083,-1.0899
