"X","Y","Z"
0.1211,0.002,-1.0138
0.1211,0.004,-1.0218
0.1201,0.006,-1.0108
0.1181,0.005,-1.0008
0.1211,0.007,-0.9938
0.1141,-0.001,-0.9818
0.1001,0.038,-0.9938
0.0961,0.032,-0.9968
0.1061,0.038,-1.0278
0.1071,0.051,-1.0428
0.0991,0.042,-1.0458
0.0981,0.027,-1.0589
0.0941,0.005,-1.0499
0.1051,-0.013,-1.0398
0.1211,-0.001,-1.0499
0.0941,0.017,-1.0258
0.0711,0.023,-0.9988
0.0801,0.028,-1.0008
0.0991,0.027,-1.0018
0.1271,0.023,-1.0028
0.1481,0.002,-1.0038
0.1531,-0.005,-1.0098
0.1251,0.017,-1.0158
0.0921,0.035,-1.0138
0.0851,0.035,-1.0038
0.0981,0.037,-1.0018
0.0991,0.037,-0.9968
0.0811,0.045,-0.9938
0.0751,0.048,-0.9678
0.0881,0.031,-0.9638
0.1181,0.016,-0.9728
0.1191,0.002,-0.9658
0.1301,0,-0.9798
0.1221,0.019,-0.9868
0.1041,0.028,-0.9828
0.0941,0.026,-0.9728
0.1081,0.019,-0.9708
0.1171,0.028,-0.9908
0.1081,0.036,-0.9998
0.0941,0.04,-0.9878
0.1031,0.031,-0.9788
0.1291,0.011,-0.9978
0.1241,0.013,-1.0108
0.1011,0.001,-0.9958
0.0911,0.002,-0.9728
0.0951,-0.009,-0.9898
0.1101,-0.001,-1.0348
0.0991,0.013,-1.0579
0.0851,0.029,-1.0338
0.0871,0.035,-1.0098
0.0981,0.031,-0.9948
0.1051,0.024,-1.0208
0.1021,0.03,-1.0198
0.0891,0.028,-0.9818
0.0941,0.005,-0.9578
0.1161,-0.008,-0.9648
