"X","Y","Z"
-0.1321,0.027,-1.225
-0.1441,0.0951,-1.255
-0.0991,0.0711,-1.288
-0.029,0.028,-1.259
0.043,0.1791,-0.8807
0.023,0.1551,-0.8237
-0.056,0.1771,-0.8517
-0.013,0.055,-0.9207
0.048,0.0901,-1.1569
0.049,0.1311,-1.223
0.006,0.2092,-1.3221
-0.051,0.3163,-1.4101
-0.024,0.3713,-1.3841
0.1231,0.3643,-1.182
0.2092,0.3343,-1.0819
0.1841,0.2832,-1.1519
0.1321,0.1902,-1.3081
0.1631,0.1631,-1.273
0.2122,0.1611,-1.1319
0.2272,0.1541,-1.0378
0.2222,0.1631,-1.0028
0.2142,0.1601,-0.9548
0.2092,0.1551,-0.9127
0.1902,0.1481,-0.8937
0.1611,0.1261,-0.8667
0.1111,0.1141,-0.8467
0.1091,0.1021,-0.8567
0.1541,0.0921,-0.9087
0.1721,0.0861,-0.9238
0.1451,0.0681,-0.9137
0.1251,0.056,-0.9368
0.1571,0.031,-1.0108
0.1882,0.027,-1.0489
0.1691,0.025,-1.0148
0.1681,0.027,-1.0038
0.2062,0.022,-1.0168
0.2042,0.03,-1.0378
0.1962,0.034,-1.0098
0.1711,0.039,-0.9928
0.1681,0.049,-1.0128
0.1481,0.056,-1.0248
0.1331,0.0621,-0.9908
0.1271,0.0661,-0.9748
0.1351,0.0761,-1.0118
0.1281,0.0761,-1.0418
0.1121,0.053,-1.0148
0.1111,0.042,-1.0008
0.1241,0.036,-1.0018
0.1161,0.038,-0.9788
0.1061,0.047,-0.9678
0.0951,0.057,-0.9618
0.1061,0.058,-0.9808
0.1101,0.059,-1.0208
0.1121,0.053,-1.0118
