"X","Y","Z"
0.5034,-0.3893,-0.6926
0.5214,-0.3553,-0.7456
0.5134,-0.3983,-0.7906
0.5014,-0.3923,-0.7186
0.5094,-0.3553,-0.7416
0.5424,-0.3483,-0.7756
0.5334,-0.3403,-0.7566
0.5074,-0.3473,-0.7286
0.5044,-0.3543,-0.7546
0.5064,-0.3803,-0.7806
0.4864,-0.3903,-0.7526
0.4914,-0.4043,-0.7236
0.5034,-0.4233,-0.7336
0.5104,-0.4374,-0.7676
0.4994,-0.4434,-0.7616
0.4824,-0.4484,-0.7236
0.4954,-0.4464,-0.7226
0.5124,-0.4574,-0.7286
0.5124,-0.4574,-0.7286
0.5034,-0.4233,-0.7276
0.4914,-0.3913,-0.7106
0.4984,-0.3873,-0.7326
0.5144,-0.4013,-0.7366
0.5024,-0.4043,-0.7416
0.4964,-0.4103,-0.7636
0.4974,-0.4223,-0.7926
0.4994,-0.4243,-0.8157
0.5004,-0.4263,-0.8237
0.5244,-0.4253,-0.8287
0.5294,-0.4374,-0.8297
0.5194,-0.4093,-0.8247
0.5294,-0.3713,-0.8407
0.5364,-0.3253,-0.8457
0.5114,-0.2772,-0.8217
0.4904,-0.2702,-0.8037
0.5004,-0.3002,-0.8077
0.5154,-0.3343,-0.8357
0.5154,-0.3643,-0.8297
0.5004,-0.3703,-0.8297
0.5104,-0.3773,-0.8297
0.5324,-0.3823,-0.8637
0.5254,-0.3783,-0.8637
0.5014,-0.3873,-0.8387
0.4634,-0.3793,-0.7666
0.4574,-0.3723,-0.7586
0.4774,-0.3723,-0.7716
0.4754,-0.3673,-0.7416
0.4664,-0.3923,-0.7256
0.4804,-0.4053,-0.7716
0.4894,-0.4173,-0.8127
