IR,RED,X,Y,Z,HR,RR,SPO2,Error Rate
228038.0,208961.0,-0.002,-0.8497,-0.5144,,,99.08224589602455,
228113.0,208981.0,-0.004,-0.8467,-0.5144,,,98.6430974450221,
228120.0,209068.0,-0.008,-0.8487,-0.5134,,,98.38348655485242,
228093.0,209039.0,-0.004,-0.8537,-0.5124,,,94.6886736255681,
228154.0,209109.0,-0.005,-0.8497,-0.5084,,,93.19750042440137,
228181.0,209062.0,-0.004,-0.8467,-0.5104,,,87.17670042809469,
228237.0,209046.0,-0.003,-0.8377,-0.5084,,,97.6275641832841,
228208.0,209161.0,-0.001,-0.8377,-0.5114,,,94.32403964177149,
228214.0,209048.0,-0.006,-0.8387,-0.5104,,,94.59779965210967,
228267.0,209123.0,-0.007,-0.8427,-0.5134,,,98.18288220038855,
228208.0,209057.0,-0.006,-0.8407,-0.5134,,,95.24172065578419,
228272.0,209107.0,-0.004,-0.8377,-0.5114,,,96.02037681445232,
228307.0,209043.0,-0.002,-0.8387,-0.5154,,,90.53829205766023,
228293.0,209100.0,-0.001,-0.8467,-0.5184,,,99.63144036340171,
228283.0,209095.0,-0.002,-0.8547,-0.5214,,,96.33607966729048,
228302.0,209056.0,-0.001,-0.8547,-0.5124,,,97.70580970387667,
228331.0,209101.0,0.001,-0.8547,-0.5164,,,97.91798133763166,
228340.0,209098.0,0.002,-0.8487,-0.5194,,,97.17376229482912,
228446.0,209154.0,-0.002,-0.8467,-0.5184,,,98.25073718030806,
228483.0,209179.0,-0.002,-0.8457,-0.5214,,,97.79317824321403,
228516.0,209226.0,-0.003,-0.8447,-0.5204,,,98.06063922295137,
228559.0,209245.0,-0.001,-0.8397,-0.5164,,,97.3059161555146,
228610.0,209179.0,-0.003,-0.8437,-0.5144,,,94.82424759617336,
228591.0,209232.0,-0.003,-0.8487,-0.5234,,,96.80207567270801,
228546.0,209174.0,-0.001,-0.8517,-0.5204,,,98.31714174081783,
228447.0,209173.0,-0.003,-0.8517,-0.5184,,,96.50833613801774,
228262.0,209059.0,-0.003,-0.8477,-0.5184,,,97.9995594702483,
228127.0,208979.0,-0.003,-0.8417,-0.5184,,,98.2033945734567,
228064.0,208974.0,-0.004,-0.8407,-0.5164,,,97.08100156915536,
228045.0,208928.0,-0.005,-0.8427,-0.5164,,,98.33436113559591,
228034.0,208944.0,-0.006,-0.8337,-0.5154,,,93.43882722105114,
228078.0,208955.0,-0.006,-0.8297,-0.5134,,,98.05123674787492,
228116.0,208964.0,-0.003,-0.8317,-0.5164,,,98.28694241657234,
228149.0,209015.0,0.001,-0.8457,-0.5254,,,98.39229598593238,
228150.0,209000.0,0.006,-0.8557,-0.5274,,,97.23802856032535,
228159.0,209014.0,0.01,-0.8527,-0.5164,,,96.26481038837812,
228224.0,209032.0,0.003,-0.8447,-0.5184,,,97.59728951790903,
228265.0,209052.0,-0.003,-0.8467,-0.5174,,,95.99160383474012,
228322.0,209042.0,-0.006,-0.8537,-0.5254,,,96.07176840855573,
228323.0,209052.0,-0.003,-0.8517,-0.5204,,,95.92464082288993,
228381.0,209096.0,-0.001,-0.8467,-0.5124,,,98.6056525802413,
228461.0,209137.0,0.0,-0.8577,-0.5184,,,99.44914243634142,
228496.0,209203.0,-0.001,-0.8527,-0.5194,,,99.14074501513625,
228584.0,209180.0,-0.006,-0.8547,-0.5114,,,98.78166756471846,
228552.0,209257.0,-0.005,-0.8407,-0.5104,,,98.57313848919921,
228666.0,209240.0,-0.006,-0.8407,-0.5084,,,98.68257069852133,
228743.0,209164.0,-0.012,-0.8427,-0.5094,,,98.57095275265932,
228723.0,209226.0,-0.01,-0.8487,-0.5074,,,97.52554683246342,
228627.0,209197.0,-0.007,-0.8537,-0.5094,,,99.35887435332235,
228528.0,209100.0,-0.001,-0.8517,-0.5104,,,98.0514628890314,
228269.0,209043.0,-0.001,-0.8417,-0.5124,,,98.94211460227707,
228117.0,208952.0,-0.001,-0.8357,-0.5134,,,98.99979970621784,
228153.0,208981.0,-0.011,-0.8327,-0.5114,,,97.8319084878343,
228089.0,209003.0,-0.009,-0.8407,-0.5114,,,98.97845792928311,
228128.0,208942.0,-0.006,-0.8487,-0.5074,,,98.70835462350496,
228143.0,208957.0,-0.002,-0.8507,-0.5084,,,99.0093503535397,
228104.0,208991.0,-0.002,-0.8447,-0.5084,,,97.91243386946711,
228121.0,208968.0,-0.003,-0.8357,-0.5044,,,98.53093581674185,
228179.0,209039.0,-0.002,-0.8407,-0.5084,,,98.93470390430764,
228154.0,209026.0,-0.003,-0.8477,-0.5074,,,98.13354487718058,
228258.0,209068.0,-0.002,-0.8527,-0.5054,,,98.46050716640039,
228334.0,209062.0,-0.005,-0.8487,-0.5084,,,98.97248024712405,
228271.0,209048.0,-0.002,-0.8487,-0.5094,,,96.77152768024206,
228361.0,209033.0,-0.001,-0.8467,-0.5104,,,98.7412695253864,
228393.0,209095.0,0.0,-0.8457,-0.5094,,,95.70514421059464,
228339.0,209126.0,-0.001,-0.8457,-0.5124,,,96.85343471679927,
228338.0,209107.0,-0.001,-0.8387,-0.5124,,,99.0087327705539,
228445.0,209038.0,0.001,-0.8357,-0.5094,,,98.51447390035335,
228410.0,209078.0,-0.002,-0.8467,-0.5124,,,96.50306611872183,
228372.0,209095.0,-0.002,-0.8547,-0.5134,,,96.44170586349355,
228434.0,209108.0,-0.002,-0.8527,-0.5114,,,94.19426718909114,
228508.0,209086.0,-0.002,-0.8487,-0.5084,,,96.77141821619007,
228518.0,209065.0,-0.001,-0.8457,-0.5104,,,98.8952208763999,
228550.0,209148.0,0.0,-0.8437,-0.5104,,,97.3457328520718,
228595.0,209152.0,-0.001,-0.8437,-0.5134,,,93.52088708401591,
228561.0,209127.0,-0.002,-0.8387,-0.5144,,,94.24763969975697,
228571.0,209097.0,0.0,-0.8387,-0.5164,,,98.35223784009752,
228629.0,209187.0,-0.005,-0.8437,-0.5124,,,96.72339083526037,
228639.0,209284.0,-0.004,-0.8497,-0.5094,,,96.14347967491484,
228638.0,209179.0,-0.004,-0.8547,-0.5084,,,97.21648357782308,
228765.0,209197.0,-0.002,-0.8537,-0.5064,,,99.12288357753742,
228784.0,209245.0,-0.001,-0.8487,-0.5064,,,98.2340572101762,
228854.0,209201.0,-0.002,-0.8447,-0.5074,,,98.35123259681667,
228731.0,209191.0,-0.001,-0.8477,-0.5084,,,98.4725746329452,
228585.0,209085.0,-0.002,-0.8447,-0.5094,,,97.59206693688394,
228369.0,209017.0,-0.004,-0.8457,-0.5094,,,99.009241803185,
228299.0,208963.0,-0.002,-0.8477,-0.5084,,,98.53275462633536,
228148.0,208947.0,-0.003,-0.8497,-0.5054,,,96.49499403636986,
228218.0,209009.0,-0.003,-0.8507,-0.5064,,,94.12800092199052,
228174.0,208952.0,-0.004,-0.8517,-0.5064,,,94.46460886317614,
228252.0,208926.0,-0.004,-0.8447,-0.5064,,,97.59738058320156,
228411.0,209097.0,-0.005,-0.8507,-0.5064,,,96.85916408550433,
228401.0,209058.0,-0.004,-0.8557,-0.5084,,,99.17126318081543,
228436.0,209077.0,-0.001,-0.8537,-0.5094,,,96.03330753702869,
228430.0,209118.0,0.001,-0.8497,-0.5084,,,99.17638567389088,
228454.0,209110.0,0.0,-0.8457,-0.5134,,,98.4336987715596,
228462.0,209021.0,-0.001,-0.8467,-0.5164,,,98.31249790305822,
228416.0,209040.0,0.001,-0.8547,-0.5154,,,98.55883015776183,
228456.0,209075.0,0.001,-0.8507,-0.5124,,,96.59607538244734,
228480.0,209138.0,0.002,-0.8487,-0.5134,,,99.16038712499494,
228579.0,209113.0,0.001,-0.8457,-0.5104,,,96.99707458435738,
228646.0,209121.0,-0.001,-0.8467,-0.5054,,,99.3425052237709,
228649.0,209145.0,0.002,-0.8437,-0.5104,,,96.94704377602974,
228680.0,209091.0,0.0,-0.8467,-0.5094,,,97.96851535322209,
228692.0,209135.0,-0.001,-0.8467,-0.5114,,,96.82827454724358,
228754.0,209235.0,-0.001,-0.8537,-0.5084,,,96.86382016967666,
228771.0,209269.0,0.001,-0.8517,-0.5104,,,99.37771339077494,
228839.0,209238.0,0.002,-0.8517,-0.5114,,,99.33312066035684,
228861.0,209274.0,0.0,-0.8457,-0.5154,,,96.9959881124412,
228878.0,209329.0,0.002,-0.8467,-0.5154,,,99.52210014317158,
228957.0,209242.0,-0.001,-0.8447,-0.5204,,,98.12514870846941,
228940.0,209337.0,0.001,-0.8477,-0.5224,,,97.34969008575936,
228998.0,209259.0,0.0,-0.8377,-0.5204,,,95.74062138629326,
228981.0,209210.0,0.0,-0.8377,-0.5174,,,97.596966730904,
228838.0,209201.0,0.0,-0.8387,-0.5174,,,92.29016190260106,
228633.0,209180.0,0.003,-0.8427,-0.5124,,,98.20604466418902,
228492.0,209027.0,0.002,-0.8477,-0.5134,,,98.4813024867408,
228384.0,208988.0,0.005,-0.8497,-0.5114,,,97.60998975138858,
228355.0,208973.0,0.002,-0.8477,-0.5154,,,97.87479112433398,
228355.0,208955.0,0.0,-0.8477,-0.5144,,,97.11918196260928,
228418.0,209003.0,-0.002,-0.8447,-0.5144,,,98.3627460233818,
228341.0,208993.0,0.001,-0.8497,-0.5124,,,99.6899831621333,
228381.0,209011.0,0.0,-0.8447,-0.5054,,,96.33674487742327,
228439.0,208987.0,-0.001,-0.8407,-0.5104,,,,
228428.0,209096.0,0.001,-0.8407,-0.5134,,,,
228537.0,209083.0,0.002,-0.8367,-0.5144,,,,
228601.0,209139.0,0.001,-0.8447,-0.5194,,,,
228654.0,209096.0,0.003,-0.8517,-0.5204,,,,
228672.0,209088.0,0.004,-0.8487,-0.5154,,,,
228682.0,209129.0,0.002,-0.8417,-0.5154,,,,
228677.0,209146.0,0.001,-0.8397,-0.5174,,,,
228623.0,209122.0,-0.001,-0.8397,-0.5184,,,,
228684.0,209141.0,0.0,-0.8467,-0.5194,,,,
228683.0,209067.0,0.002,-0.8467,-0.5154,,,,
228682.0,209096.0,0.002,-0.8487,-0.5134,,,,
228709.0,209136.0,0.002,-0.8517,-0.5134,,,,
228735.0,209167.0,0.005,-0.8507,-0.5134,,,,
228780.0,209219.0,0.004,-0.8457,-0.5124,,,,
228812.0,209179.0,0.003,-0.8427,-0.5134,,,,
228830.0,209235.0,-0.001,-0.8397,-0.5084,,,,
228857.0,209155.0,0.001,-0.8427,-0.5064,,,,
229021.0,209283.0,0.003,-0.8517,-0.5054,,,,
229143.0,209277.0,0.002,-0.8547,-0.5084,,,,
229152.0,209299.0,-0.003,-0.8557,-0.5004,,,,
229059.0,209306.0,-0.001,-0.8547,-0.5044,,,,
228826.0,209324.0,0.0,-0.8497,-0.5074,,,,
228844.0,209156.0,0.003,-0.8457,-0.5084,,,,
228719.0,209135.0,-0.002,-0.8397,-0.5114,,,,
228567.0,209071.0,0.0,-0.8417,-0.5094,,,,
228548.0,209103.0,0.002,-0.8477,-0.5094,,,,
228557.0,209060.0,0.001,-0.8477,-0.5074,,,,
228650.0,209067.0,0.006,-0.8497,-0.5134,,,,
228667.0,209101.0,0.006,-0.8487,-0.5044,,,,
228785.0,209121.0,0.006,-0.8517,-0.5054,,,,
228757.0,209174.0,0.002,-0.8477,-0.5044,,,,
228747.0,209115.0,0.002,-0.8437,-0.5014,,,,
228877.0,209167.0,-0.002,-0.8477,-0.5054,,,,
228859.0,209248.0,-0.004,-0.8487,-0.5084,,,,
228960.0,209235.0,-0.001,-0.8517,-0.5094,,,,
228910.0,209209.0,0.002,-0.8487,-0.5154,,,,
228949.0,209265.0,0.004,-0.8517,-0.5084,,,,
228992.0,209149.0,0.0,-0.8507,-0.5034,,,,
228849.0,209241.0,0.002,-0.8437,-0.5004,,,,
228951.0,209176.0,0.004,-0.8457,-0.4994,,,,
228850.0,209193.0,0.003,-0.8547,-0.4974,,,,
228901.0,209167.0,0.001,-0.8617,-0.5024,,,,
228896.0,209276.0,0.0,-0.8627,-0.5024,,,,
228859.0,209201.0,-0.001,-0.8587,-0.5024,,,,
228900.0,209213.0,-0.002,-0.8537,-0.5004,,,,
229072.0,209276.0,-0.001,-0.8487,-0.4984,,,,
228958.0,209256.0,-0.001,-0.8527,-0.4964,,,,
229111.0,209283.0,-0.001,-0.8487,-0.5014,,,,
229208.0,209273.0,-0.002,-0.8497,-0.5034,,,,
229184.0,209337.0,0.0,-0.8497,-0.5024,,,,
229277.0,209301.0,0.0,-0.8547,-0.5024,,,,
229269.0,209344.0,-0.001,-0.8607,-0.5044,,,,
229258.0,209370.0,0.0,-0.8687,-0.5004,,,,
229260.0,209384.0,-0.001,-0.8687,-0.4994,,,,
229156.0,209348.0,-0.003,-0.8607,-0.4984,,,,
228996.0,209288.0,-0.001,-0.8587,-0.4974,,,,
228893.0,209206.0,-0.003,-0.8567,-0.4964,,,,
228834.0,209200.0,0.0,-0.8567,-0.4924,,,,
228818.0,209082.0,0.001,-0.8547,-0.4944,,,,
228827.0,209199.0,-0.001,-0.8437,-0.4934,,,,
228879.0,209099.0,-0.001,-0.8427,-0.4904,,,,
228836.0,209121.0,-0.005,-0.8387,-0.4984,,,,
228820.0,209190.0,-0.002,-0.8467,-0.4984,,,,
228993.0,209125.0,-0.001,-0.8587,-0.4994,,,,
229029.0,209205.0,0.004,-0.8677,-0.4954,,,,
228942.0,209166.0,0.002,-0.8627,-0.4904,,,,
229027.0,209195.0,0.002,-0.8607,-0.4884,,,,
229028.0,209210.0,-0.006,-0.8657,-0.4834,,,,
229076.0,209317.0,-0.007,-0.8647,-0.4924,,,,
229111.0,209326.0,-0.007,-0.8587,-0.4854,,,,
229123.0,209287.0,-0.002,-0.8587,-0.4794,,,,
229119.0,209305.0,-0.002,-0.8587,-0.4794,,,,
229177.0,209340.0,-0.006,-0.8597,-0.4834,,,,
229203.0,209357.0,0.001,-0.8667,-0.4904,,,,
229269.0,209262.0,0.0,-0.8667,-0.4874,,,,
229270.0,209345.0,-0.002,-0.8747,-0.4824,,,,
229313.0,209331.0,0.005,-0.8797,-0.4824,,,,
229381.0,209336.0,0.001,-0.8837,-0.4834,,,,
229400.0,209322.0,0.002,-0.8707,-0.4744,,,,
229350.0,209299.0,0.003,-0.8697,-0.4764,,,,
229213.0,209258.0,0.0,-0.8597,-0.4774,,,,
229108.0,209220.0,-0.003,-0.8527,-0.4844,,,,
228996.0,209166.0,-0.005,-0.8567,-0.4854,,,,
228949.0,209133.0,-0.006,-0.8567,-0.4824,,,,
228920.0,209123.0,-0.007,-0.8537,-0.4784,,,,
228959.0,209136.0,-0.006,-0.8477,-0.4714,,,,
228962.0,209245.0,-0.008,-0.8477,-0.4794,,,,
229045.0,209122.0,-0.011,-0.8567,-0.4904,,,,
229063.0,209166.0,-0.006,-0.8687,-0.4984,,,,
229080.0,209163.0,0.006,-0.8737,-0.4914,,,,
229112.0,209238.0,0.019,-0.8737,-0.4824,,,,
229142.0,209189.0,0.014,-0.8727,-0.4764,,,,
229180.0,209197.0,0.008,-0.8697,-0.4734,,,,
229227.0,209252.0,0.002,-0.8687,-0.4814,,,,
229236.0,209323.0,0.001,-0.8637,-0.4864,,,,
229213.0,209237.0,0.001,-0.8527,-0.4854,,,,
229197.0,209233.0,0.003,-0.8507,-0.4854,,,,
229201.0,209267.0,0.002,-0.8577,-0.4794,,,,
229169.0,209230.0,0.0,-0.8657,-0.4754,,,,
229199.0,209272.0,0.005,-0.8687,-0.4754,,,,
229226.0,209271.0,0.003,-0.8677,-0.4834,,,,
229259.0,209322.0,0.004,-0.8597,-0.4844,,,,
229291.0,209270.0,0.0,-0.8617,-0.4854,,,,
229299.0,209347.0,-0.001,-0.8577,-0.4874,,,,
229293.0,209282.0,-0.002,-0.8607,-0.4804,,,,
229315.0,209279.0,-0.002,-0.8607,-0.4794,,,,
229369.0,209333.0,-0.001,-0.8657,-0.4764,,,,
229357.0,209309.0,0.0,-0.8697,-0.4754,,,,
229358.0,209330.0,-0.003,-0.8667,-0.4784,,,,
229354.0,209368.0,-0.003,-0.8657,-0.4834,,,,
229248.0,209207.0,-0.001,-0.8637,-0.4794,,,,
229163.0,209297.0,0.002,-0.8597,-0.4864,,,,
229095.0,209277.0,0.001,-0.8567,-0.4874,,,,
229072.0,209224.0,0.002,-0.8567,-0.4834,,,,
229017.0,209263.0,-0.007,-0.8557,-0.4764,,,,
229022.0,209138.0,-0.011,-0.8707,-0.4764,,,,
229038.0,209213.0,-0.014,-0.8727,-0.4744,,,,
229171.0,209245.0,-0.003,-0.8497,-0.4854,,,,
229280.0,209208.0,0.0,-0.8497,-0.4824,,,,
229209.0,209237.0,0.002,-0.8617,-0.4804,,,,
229208.0,209325.0,0.001,-0.8677,-0.4824,,,,
229266.0,209229.0,0.002,-0.8717,-0.4874,,,,
229184.0,209215.0,0.005,-0.8707,-0.4904,,,,
229249.0,209264.0,0.008,-0.8667,-0.4864,,,,
229302.0,209199.0,0.004,-0.8627,-0.4804,,,,
229296.0,209292.0,0.005,-0.8637,-0.4814,,,,
229409.0,209299.0,0.004,-0.8697,-0.4844,,,,
229425.0,209343.0,0.001,-0.8697,-0.4894,,,,
229426.0,209394.0,0.001,-0.8617,-0.4874,,,,
229442.0,209352.0,0.003,-0.8567,-0.4794,,,,
229437.0,209319.0,0.006,-0.8567,-0.4874,,,,
229484.0,209354.0,0.012,-0.8597,-0.4924,,,,
229419.0,209305.0,0.008,-0.8657,-0.4924,,,,
229387.0,209285.0,0.004,-0.8657,-0.4944,,,,
229358.0,209273.0,-0.001,-0.8637,-0.4964,,,,
229144.0,209175.0,-0.002,-0.8587,-0.4964,,,,
229130.0,209140.0,-0.001,-0.8607,-0.4924,,,,
229168.0,209231.0,-0.001,-0.8617,-0.4904,,,,
229118.0,209245.0,0.0,-0.8627,-0.4944,,,,
229202.0,209204.0,0.0,-0.8667,-0.4914,,,,
229128.0,209161.0,0.006,-0.8657,-0.4894,,,,
229182.0,209240.0,0.0,-0.8687,-0.4894,,,,
229238.0,209263.0,0.001,-0.8737,-0.4914,,,,
229267.0,209220.0,0.002,-0.8747,-0.4924,,,,
229224.0,209205.0,0.002,-0.8687,-0.4924,,,,
229306.0,209228.0,0.005,-0.8567,-0.4924,,,,
229365.0,209297.0,0.006,-0.8567,-0.4934,,,,
229346.0,209234.0,0.006,-0.8547,-0.4914,,,,
229322.0,209243.0,0.003,-0.8527,-0.4884,,,,
229446.0,209228.0,0.001,-0.8537,-0.4914,,,,
229374.0,209267.0,0.004,-0.8477,-0.4944,,,,
